                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.0109,                0.66356,                 0.9093,                0.90777,                0.88636,                 0.9296,                 0.6278,                 1.1061,                0.61546,                 1.0102,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0169,                0.64675,                0.92003,                0.88373,                0.93182,                0.94644,                0.66342,                 1.0443,                0.67463,                0.99227,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1381,                0.68899,                0.91849,                0.91814,                0.87879,                0.93894,                0.66288,                 1.0683,                0.62762,                 0.9946,               0.000911,               0.000911,               0.000911
                     57,                 1.0834,                0.70944,                0.88914,                0.92945,                0.89394,                0.95273,                 0.6452,                 1.0647,                0.59643,                0.98852,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.9787,                0.69843,                0.87725,                0.94825,                0.83293,                0.93441,                0.64245,                 1.1023,                0.67829,                 1.0072,              0.0008714,              0.0008714,              0.0008714
                     59,                0.99438,                0.60406,                0.91042,                 0.9511,                0.88414,                0.95407,                0.63845,                 1.0689,                 0.6433,                0.99044,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1061,                0.64508,                0.93188,                 0.9736,                0.83803,                0.92443,                0.61394,                 1.1071,                0.62403,                 1.0174,              0.0008318,              0.0008318,              0.0008318
                     61,                0.95837,                0.73613,                0.87904,                0.88988,                0.89394,                0.92837,                 0.6094,                 1.1534,                0.63958,                 1.0187,               0.000812,               0.000812,               0.000812
                     62,                0.93752,                 0.6044,                0.85662,                 0.9764,                0.86364,                0.94174,                0.65096,                 1.0617,                0.61898,                0.96817,              0.0007922,              0.0007922,              0.0007922
                     63,                0.92275,                0.63733,                0.84576,                0.88183,                0.92424,                0.93869,                0.63889,                 1.1265,                0.67602,                0.98858,              0.0007724,              0.0007724,              0.0007724
                     64,                0.94272,                0.57942,                0.88117,                0.94657,                0.87121,                0.95052,                0.67324,                 1.0073,                0.62209,                  0.959,              0.0007526,              0.0007526,              0.0007526
                     65,                0.93438,                0.53942,                 0.8929,                0.90222,                0.93182,                0.95644,                0.68398,                0.95679,                0.59541,                0.95406,              0.0007328,              0.0007328,              0.0007328
                     66,                0.98426,                0.59036,                0.90052,                0.95744,                0.88636,                0.94596,                0.67973,                0.99433,                0.63694,                0.95189,               0.000713,               0.000713,               0.000713
                     67,                0.92723,                0.57595,                0.83873,                0.94571,                0.85606,                0.91561,                0.64424,                 1.0175,                0.64806,                0.97583,              0.0006932,              0.0006932,              0.0006932
                     68,                0.82765,                0.58661,                  0.785,                0.93729,                0.91667,                 0.9411,                0.67776,                  1.023,                0.59678,                0.97698,              0.0006734,              0.0006734,              0.0006734
                     69,                0.90726,                0.59844,                0.88051,                0.93005,                0.90657,                0.94252,                0.65976,                 1.0836,                0.60904,                0.99394,              0.0006536,              0.0006536,              0.0006536
                     70,                0.89074,                0.57629,                0.87019,                0.93784,                0.91447,                0.94716,                0.67466,                 1.0165,                 0.6309,                0.97466,              0.0006338,              0.0006338,              0.0006338
                     71,                0.89271,                0.57576,                0.83853,                0.96699,                 0.8877,                0.95122,                0.64884,                 1.0721,                0.63474,                 1.0039,               0.000614,               0.000614,               0.000614
                     72,                0.90715,                 0.5784,                0.85967,                0.92929,                0.89602,                 0.9496,                0.66225,                 1.0594,                0.59987,                0.97372,              0.0005942,              0.0005942,              0.0005942
                     73,                0.93781,                0.60287,                0.87809,                0.88956,                0.93182,                0.94532,                0.66971,                 1.0305,                 0.6529,                0.97362,              0.0005744,              0.0005744,              0.0005744
                     74,                0.95132,                0.73533,                0.87065,                0.93772,                0.89394,                0.95587,                0.69496,                 1.0013,                 0.5689,                0.96486,              0.0005546,              0.0005546,              0.0005546
                     75,                0.86782,                0.59653,                0.85209,                0.92387,                0.88636,                0.94535,                0.67961,                 1.0188,                0.60994,                0.97056,              0.0005348,              0.0005348,              0.0005348
                     76,                0.88717,                0.54334,                0.87583,                0.95084,                0.87918,                0.95643,                0.68591,                  1.027,                0.55281,                0.96749,               0.000515,               0.000515,               0.000515
                     77,                0.86588,                0.52198,                0.85671,                0.95094,                0.88105,                0.95201,                0.67476,                 1.0149,                0.56579,                0.95889,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.8594,                0.51618,                0.86097,                0.94951,                0.90152,                0.95468,                0.67364,                 1.0357,                 0.5953,                0.97525,              0.0004754,              0.0004754,              0.0004754
                     79,                0.85716,                0.53152,                0.85351,                0.96793,                0.91473,                0.95952,                0.67533,                 1.0121,                 0.5572,                 0.9652,              0.0004556,              0.0004556,              0.0004556
                     80,                0.89729,                0.53515,                0.88405,                  0.932,                0.89394,                0.94164,                0.69351,                 0.9656,                0.55483,                0.95498,              0.0004358,              0.0004358,              0.0004358
                     81,                0.90774,                0.57969,                0.86409,                0.93372,                0.90152,                0.94993,                0.67305,                 1.0176,                0.57193,                0.96117,               0.000416,               0.000416,               0.000416
                     82,                0.84764,                0.52364,                0.83698,                0.95319,                0.92553,                0.96176,                0.69623,                0.99429,                0.57545,                0.96987,              0.0003962,              0.0003962,              0.0003962
                     83,                0.88185,                0.54806,                 0.8421,                0.97556,                0.90711,                0.96421,                 0.7016,                 1.0215,                0.52957,                0.96889,              0.0003764,              0.0003764,              0.0003764
                     84,                0.86306,                0.52599,                0.85563,                0.87608,                0.95455,                0.95929,                0.69621,                0.99234,                0.58621,                 0.9647,              0.0003566,              0.0003566,              0.0003566
                     85,                0.91793,                0.53191,                0.86812,                0.92931,                0.91667,                 0.9509,                0.69626,                 1.0017,                0.51747,                0.97204,              0.0003368,              0.0003368,              0.0003368
                     86,                0.84707,                0.54577,                0.84014,                0.93825,                 0.9209,                0.95865,                0.70063,                 0.9598,                0.53668,                0.95973,               0.000317,               0.000317,               0.000317
                     87,                0.76119,                 0.4589,                0.78465,                0.93175,                0.94697,                0.96703,                0.70679,                0.97233,                0.50554,                0.95771,              0.0002972,              0.0002972,              0.0002972
                     88,                0.85674,                0.46457,                0.85592,                0.93362,                0.92424,                0.96123,                0.70709,                0.97077,                0.52404,                0.96309,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.7832,                0.51869,                0.83284,                0.93899,                0.93274,                 0.9654,                0.70712,                 1.0083,                0.51253,                0.97329,              0.0002576,              0.0002576,              0.0002576
                     90,                0.77868,                0.53366,                0.82446,                0.95522,                0.92424,                0.96068,                0.70722,                 0.9755,                0.53123,                0.95546,              0.0002378,              0.0002378,              0.0002378
                     91,                0.76731,                0.46054,                0.82153,                 0.9711,                0.90152,                0.96357,                0.71016,                0.98651,                0.51508,                0.96964,               0.000218,               0.000218,               0.000218
                     92,                0.69885,                0.44279,                0.76629,                0.90677,                0.93939,                0.95832,                0.70029,                0.98699,                0.51846,                0.96706,              0.0001982,              0.0001982,              0.0001982
                     93,                0.71962,                0.44089,                0.81694,                0.90626,                0.93939,                0.95719,                0.71279,                0.96275,                0.53536,                0.96133,              0.0001784,              0.0001784,              0.0001784
                     94,                0.72438,                0.44599,                0.78676,                0.92489,                0.93286,                0.95797,                0.69749,                 1.0116,                0.54647,                0.97252,              0.0001586,              0.0001586,              0.0001586
                     95,                0.74217,                0.43352,                0.81374,                0.89757,                0.92941,                  0.958,                 0.7159,                0.97709,                0.53989,                0.95564,              0.0001388,              0.0001388,              0.0001388
                     96,                0.71605,                 0.6214,                0.79466,                0.91136,                0.93475,                0.95977,                0.72159,                0.98454,                0.52683,                0.96979,               0.000119,               0.000119,               0.000119
                     97,                0.72678,                 0.4311,                0.81295,                0.92522,                0.93738,                0.96044,                0.71869,                0.96329,                0.51284,                 0.9604,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.65124,                0.39122,                0.76897,                0.94609,                0.93069,                0.96353,                 0.7174,                0.96857,                0.50788,                0.96315,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.64473,                 0.5016,                0.75888,                0.94704,                0.91667,                0.96332,                0.71317,                0.97101,                 0.4954,                0.96469,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.65196,                0.40806,                0.79064,                0.95322,                 0.9263,                0.96498,                0.71633,                0.94722,                0.51232,                0.95715,               3.98e-05,               3.98e-05,               3.98e-05
